t,x,y,z,dx,dy,dz
1.1,-0.4017133073447432,1.2344871597998655,1.7105406225933915,-1.205926394678574,-0.48941853970458027,-0.2520860739109736
1.12,-0.425717797214885,1.2244713913991243,1.7055240029730456,-1.194418777176594,-0.5120967852655127,-0.24958289751911877
1.1400000000000001,-0.4494879942837263,1.214004537386693,1.7005571644705317,-1.1824983389581583,-0.534525235644054,-0.2471081234600092
1.16,-0.47301569144577854,1.2030916680145858,1.6956395322125286,-1.170170044023216,-0.5566964828041066,-0.24466249005169516
1.18,-0.4962927822315719,1.1917380007259366,1.6907705166041407,-1.157438998846544,-0.5786032097414662,-0.2422465153303932
1.2,-0.5193112635940168,1.179948898497838,1.685949521155468,-1.1443104221107099,-0.6002381796885032,-0.23986056129851363
1.22,-0.5420632385375772,1.1677298678742503,1.6811759439643614,-1.1307897197383312,-0.6215942821901876,-0.23750471569348974
1.24,-0.5645409192903033,1.1550865566334747,1.6764491812870836,-1.1168823945263746,-0.6426644919218063,-0.23517908059842796
1.26,-0.5867366289914921,1.142024752734132,1.6717686306595887,-1.1025940195802733,-0.6634418091847465,-0.2328834710779546
1.28,-0.6086428044622161,1.1285503821102794,1.6671336927166405,-1.0879304867080641,-0.6839195255003361,-0.23061780014469946
1.3,-0.6302520012266002,1.1146695040700578,1.662543769537956,-1.0728975371686786,-0.7040907976134534,-0.22838195816092366
1.32,-0.6515568883357152,1.1003883160077719,1.6579982664825086,-1.0575011641680092,-0.7239489941358599,-0.22617564530749235
1.34,-0.6725502629494584,1.0857131408553309,1.6534965986204921,-1.0417477396520312,-0.7434878097637636,-0.2239983972061168
1.36,-0.6932250417470621,1.0706504344219576,1.6490381861230543,-1.025643179087382,-0.7627005569245426,-0.2218500130551888
1.3800000000000001,-0.7135742687543087,1.0552067779898642,1.6446224564235714,-1.0091942204162763,-0.7815813034473535,-0.21973000211400517
1.4000000000000001,-0.733591119318021,1.0393888747061928,1.6402488457361681,-0.9924070666608245,-0.8001236168053723,-0.2176380367288573
1.42,-0.7532688942731,1.0232035547726348,1.635916796675943,-0.9752884733906342,-0.8183216288899473,-0.21557372797599328
1.44,-0.7726010346228387,1.0066577606365235,1.6316257603079396,-0.95784517425583,-0.836169444674745,-0.21353667915526842
1.46,-0.7915811104055637,0.9897585583953527,1.6273751951079407,-0.940083840436408,-0.8536611291384588,-0.21152649659575218
1.48,-0.810202835062704,0.9725131217422603,1.6231645684596634,-0.9220117386749607,-0.8707914092316997,-0.20954272497519355
1.5,-0.8284600589277612,0.9549287394020948,1.6189933559575143,-0.9036354458327338,-0.8875542298565833,-0.20758498216585508
1.52,-0.8463467680293111,0.9370128162848931,1.6148610411829807,-0.8849622743201877,-0.9039444192208492,-0.2056528315013253
1.54,-0.8638571036070551,0.9187728497687903,1.6107671170184013,-0.8659997685040324,-0.9199570887502162,-0.20374582133240438
1.56,-0.8809853462207141,0.9002164491914086,1.6067110846624837,-0.8467547664295907,-0.9355864857331895,-0.20186354551479724
1.58,-0.8977259208993501,0.8813513288377618,1.6026924533984959,-0.8272350474048267,-0.9508281218546912,-0.20000562653440568
1.6,-0.9140734119056422,0.8621852876830188,1.5987107398093703,-0.8074481336690695,-0.965677150986231,-0.19817166917252393
1.62,-0.9300225462851283,0.8427262322888948,1.594765468909588,-0.7874012866230728,-0.9801283735600563,-0.19636125902731294
1.6400000000000001,-0.9455682050136448,0.8229821601311973,1.5908561735272322,-0.7671026432928656,-0.9941779238193362,-0.19457402711975647
1.6600000000000001,-0.9607054305145261,0.8029611480113006,1.5869823939317846,-0.7465597813337013,-1.0078210662812523,-0.19280957772734553
1.68,-0.975429410930873,0.7826713768884755,1.583143678601558,-0.7257803290221787,-1.0210531639733915,-0.1910675183584516
1.7,-0.9897355046941083,0.7621210897266475,1.5793395828872525,-0.7047727944978845,-1.0338711049478349,-0.18934750501347253
1.72,-1.00361922065034,0.7413186263877153,1.5755696701255666,-0.6835446652708299,-1.046269985995572,-0.18764913653171789
1.74,-1.0170762285226478,0.7202724051414082,1.5718335110322956,-0.6621040869449857,-1.0582461114179011,-0.1859720571900283
1.76,-1.030102364421179,0.6989909103893184,1.5681306829680663,-0.6404594811501028,-1.0697963701070918,-0.184315943086375
1.78,-1.042693627821497,0.6774826991991064,1.56446077030869,-0.6186189022321145,-1.0809168879457332,-0.18268043040397686
1.8,-1.0548461823576447,0.6557564001363421,1.5608233644372613,-0.5965906651915702,-1.0916043402141469,-0.18106518530595395
1.82,-1.0665563569953453,0.633820707378258,1.557218063021528,-0.5743829961505966,-1.1018554870652295,-0.17946991061734252
1.84,-1.0778206478453776,0.6116843763859839,1.5536444697163918,-0.5520044441081566,-1.1116674876160602,-0.1778942980008651
1.86,-1.0886357234679338,0.5893562168319567,1.5501021942578541,-0.5294636222523792,-1.1210376862470355,-0.17633805028125948
1.8800000000000001,-1.0989984222637736,0.5668450937281238,1.5465908529527888,-0.5067687616512799,-1.1299630063987998,-0.17480076596382332
1.9000000000000001,-1.1089057466339187,0.5441599336261684,1.543110070447622,-0.4839283979149016,-1.1384408636977028,-0.1732821042381829
1.92,-1.1183548742424996,0.5213097078189453,1.539659477221824,-0.46095125035905227,-1.1464690034669474,-0.17178175477418733
1.94,-1.1273431558298446,0.4983034332492731,1.5362387101920607,-0.43784593122872906,-1.1540451988768048,-0.17029942420950306
1.96,-1.1358681137627435,0.47515016999436466,1.532847411517368,-0.4146210771633534,-1.1611673797563533,-0.1688348371751971
1.98,-1.1439274450903452,0.45185901764313746,1.5294852295642363,-0.391285460875757,-1.1678336538816545,-0.1673876786755102
2.0,-1.1515190222376035,0.42843911209661184,1.5261518186014482,-0.36784783381476416,-1.174042292805911,-0.16595770508799035
2.02,-1.1586408918185616,0.4048996218356896,1.522846835845364,-0.34431690575787854,-1.1797917548476136,-0.1645448053558738
2.04,-1.1652912762282297,0.38124974488162816,1.5195699422428395,-0.3207015291051363,-1.1850806322196057,-0.16314874002780755
2.06,-1.1714685750245206,0.35749870569628717,1.5163208029568693,-0.2970105909384131,-1.1899079312277046,-0.16176928313691974
